Ticker,MarketCap_Cr,EPS_TTM,NI_CAGR_4Y_pct,Rev_CAGR_3Y_pct,DivYield_pct,ROE_pct,OPM_pct,FCF_Cr
HDFCBANK.NS,1180582.49,44.79,20.39,40.27,171.0,13.82,40.54,112922.01
BHARTIARTL.NS,1139958.04,44.3,47.34,18.6,85.0,19.36,32.23,75828.8
ICICIBANK.NS,906385.95,74.82,16.78,20.6,89.0,16.36,33.29,63595.42
SBIN.NS,876170.24,91.19,14.39,10.43,182.0,15.48,26.75,29734.43
TCS.NS,838419.4,135.91,5.3,5.28,533.0,48.4,25.29,47948.0
LT.NS,540169.89,117.07,15.38,13.89,97.0,16.95,10.71,11931.78
HINDUNILVR.NS,517755.95,45.32,1.66,2.27,202.0,21.6,21.36,9638.0
INFY.NS,475321.07,77.25,3.58,4.21,423.0,31.44,20.93,373.3
SUNPHARMA.NS,442581.33,45.58,49.47,9.66,87.0,20.14,26.17,11943.51
ADANIPORTS.NS,411694.45,58.28,34.11,20.42,42.0,15.59,41.02,5035.94
ITC.NS,378014.09,16.51,2.54,7.73,519.0,29.34,36.48,16281.42
M&M.NS,369990.88,152.16,18.48,20.68,106.0,18.75,16.4,2051.91
HCLTECH.NS,314937.94,61.33,3.87,8.81,822.0,23.36,16.49,18553.0
JSWSTEEL.NS,313743.43,91.23,75.28,2.7,55.0,27.26,12.67,10498.0
BEL.NS,304488.83,8.28,26.64,17.77,103.0,27.56,27.47,556.01
BAJAJ-AUTO.NS,294617.72,384.01,21.03,17.44,141.0,28.05,18.64,1874.28
HAL.NS,292147.67,136.36,16.08,8.4,114.0,23.98,26.95,8357.23
POWERGRID.NS,273716.77,20.1,7.22,2.82,409.0,16.49,49.47,3651.47
HINDZINC.NS,267145.79,32.72,9.58,18.14,334.0,76.94,52.46,11733.0
EICHERMOT.NS,191512.46,195.04,41.34,14.36,102.0,23.64,22.01,2940.59
VBL.NS,182457.96,9.41,26.57,15.49,38.0,16.85,18.49,770.21
BSE.NS,170322.41,52.75,73.17,90.43,24.0,36.0,67.7,260.94
TRENT.NS,152735.19,48.38,56.97,28.25,14.0,27.13,10.95,904.77
TORNTPHARM.NS,151833.4,67.04,34.98,9.36,78.0,63.95,26.7,1973.24
PIDILITIND.NS,150467.92,24.01,24.36,8.79,68.0,23.52,20.53,2235.68
CUMMINSIND.NS,148385.16,80.85,28.9,15.64,99.0,26.96,22.92,1446.82
ABB.NS,141756.1,73.24,17.63,12.26,60.0,21.36,11.5,979.56
POLYCAB.NS,139462.47,176.52,28.11,26.16,38.0,24.58,12.95,2330.15
BANKBARODA.NS,137247.96,38.39,10.01,5.07,323.0,12.74,38.45,31610.09
BRITANNIA.NS,128418.93,105.06,2.95,6.76,170.0,53.31,16.27,2406.03
GVT&D.NS,124169.76,47.95,160.99,40.09,21.0,55.26,26.44,1521.46
APOLLOHOSP.NS,120239.92,135.43,33.34,15.65,24.0,21.5,11.91,893.7
PNB.NS,117986.56,16.0,76.44,5.4,294.0,12.98,29.4,24010.83
HDFCAMC.NS,117395.27,66.56,26.16,26.29,198.0,32.93,78.76,2505.19
BAJAJHLDNG.NS,116668.98,865.45,25.71,15.64,154.0,12.62,40.88,4780.31
INDIANB.NS,111252.48,86.89,28.07,8.86,223.0,15.44,47.08,18361.36
MARICO.NS,106832.46,13.56,10.61,19.24,48.0,41.39,13.83,1765.0
BOSCHLTD.NS,106368.81,940.11,24.84,10.6,77.0,19.35,11.96,1858.8
GODREJCP.NS,105138.38,18.21,4.57,3.95,197.0,15.1,19.62,1918.94
LUPIN.NS,104327.52,116.51,131.46,18.25,53.0,26.91,24.24,5279.65
MANKIND.NS,102376.7,46.26,14.28,17.97,8.0,12.45,20.56,2384.05
MAXHEALTH.NS,99587.17,14.73,9.34,25.58,14.0,14.33,22.56,148.79
HEROMOTOCO.NS,99366.16,286.74,26.9,12.29,372.0,28.03,13.11,7214.52
UNITDSPR.NS,93260.11,24.05,14.55,5.23,134.0,20.03,16.93,1278.0
INDHOTEL.NS,92558.68,14.66,27.63,22.05,49.0,16.43,31.1,1434.83
ICICIGI.NS,91116.27,55.29,17.04,11.38,78.0,17.85,10.13,2378.63
RECLTD.NS,88726.48,61.8,13.45,12.55,695.0,19.96,90.23,5901.93
LODHA.NS,88578.8,34.29,91.69,27.88,48.0,15.71,27.62,709.1
MCX.NS,83223.56,52.17,107.53,98.62,18.0,37.88,73.86,2962.38
OFSS.NS,82928.77,301.65,13.48,9.72,683.0,32.61,50.4,2586.6
DABUR.NS,80002.29,10.68,3.54,3.73,185.0,16.24,11.18,2158.48
IDBI.NS,78116.21,8.64,44.41,9.53,288.0,14.15,15.58,25446.03
PERSISTENT.NS,77651.51,118.95,26.51,22.54,88.0,26.35,16.25,1558.55
BHARTIHEXA.NS,77110.0,34.67,46.68,14.87,64.0,28.81,30.73,2981.1
NATIONALUM.NS,75164.16,33.45,21.3,8.43,197.0,29.42,49.47,4604.82
AUBANK.NS,73182.01,34.99,22.75,32.8,10.0,13.22,35.55,1020.28
FORTIS.NS,72506.18,12.77,11.73,11.5,10.0,17.85,17.02,576.99
ATGL.NS,71795.6,5.93,6.26,15.15,4.0,14.46,15.25,160.83
NAM-INDIA.NS,68960.79,23.63,28.35,28.39,199.0,34.48,65.43,1387.06
ALKEM.NS,64618.9,198.05,9.58,5.79,93.0,18.92,19.61,1237.22
BANKINDIA.NS,63700.93,22.64,39.0,9.81,334.0,12.06,45.0,3862.75
SCHAEFFLER.NS,63648.42,77.69,9.37,15.72,86.0,20.21,14.28,826.2
JSL.NS,60696.26,38.68,14.73,5.74,41.0,17.41,10.38,736.83
OBEROIRLTY.NS,60343.43,68.99,9.6,15.82,48.0,14.91,52.99,743.26
COFORGE.NS,59645.29,43.79,28.89,34.93,116.0,18.6,16.56,1049.2
ABBOTINDIA.NS,59136.81,731.68,17.8,8.86,189.0,34.46,27.01,1278.32
COLPAL.NS,58664.58,48.71,10.04,7.54,236.0,86.32,27.3,1323.04
BERGEPAINT.NS,58434.23,9.64,9.45,3.45,76.0,17.23,13.27,1022.07
MRF.NS,53771.33,5723.58,46.67,11.6,19.0,12.29,10.73,3156.05
HINDCOPPER.NS,52775.33,9.5,46.08,34.38,45.0,30.6,49.89,1017.23
RADICO.NS,47694.3,45.01,39.99,21.51,15.0,18.28,14.87,498.04
SUPREMEIND.NS,45190.29,75.22,3.3,5.49,104.0,16.13,14.22,409.78
PAGEIND.NS,44007.61,683.16,10.17,7.42,156.0,52.5,18.56,686.54
AIIL.NS,43374.19,42.81,85.1,156.85,4.0,28.89,78.85,253.22
JKCEMENT.NS,42941.83,132.01,7.81,9.97,27.0,15.06,11.05,219.59
IRCTC.NS,42420.0,17.82,25.86,14.9,180.0,35.91,31.26,785.74
MPHASIS.NS,42407.18,94.23,5.96,1.55,278.0,18.29,15.38,1843.36
ASTRAL.NS,41417.8,19.98,6.55,8.03,25.0,13.8,14.79,657.9
GLAXO.NS,39080.28,60.11,19.46,5.37,236.0,45.82,33.71,848.02
AJANTPHARM.NS,38823.75,84.4,21.55,14.47,178.0,25.39,23.19,164.03
3MINDIA.NS,37529.58,334.88,20.52,5.96,50.0,25.79,17.49,299.68
NAVINFLUOR.NS,36541.25,130.27,20.93,27.2,21.0,20.11,29.85,404.31
LTTS.NS,36268.04,115.87,0.44,6.76,162.0,19.54,15.22,1270.0
GODFRYPHLP.NS,36114.46,97.8,30.24,26.51,160.0,26.59,16.04,205.97
JBCHEPHARM.NS,35204.1,44.45,20.07,9.68,117.0,24.7,23.52,620.74
WELCORP.NS,33688.18,61.19,63.22,18.5,38.0,26.99,11.54,650.95
EMCURE.NS,32488.07,48.69,20.22,18.25,17.0,19.57,15.35,395.86
KPRMILL.NS,32255.35,25.32,2.1,4.65,54.0,15.21,16.38,793.02
ESCORTS.NS,32253.43,124.3,28.98,9.34,158.0,12.02,10.49,1063.83
HEXT.NS,31329.14,22.58,15.69,13.75,283.0,22.27,13.29,1571.6
HONAUT.NS,31324.07,594.41,6.23,7.45,31.0,12.35,17.72,459.6
PGHH.NS,31113.62,220.25,1.17,5.13,243.0,87.12,31.09,425.85
CRISIL.NS,29877.27,114.77,10.72,7.81,86.0,37.98,26.39,682.18
