Ticker,MarketCap_Cr,EPS_TTM,NI_CAGR_4Y_pct,Rev_CAGR_3Y_pct,DivYield_pct,ROE_pct,OPM_pct,FCF_Cr
BHARTIARTL.NS,1142360.64,47.81,47.34,18.6,131.0,20.15,32.57,75515.4
HDFCBANK.NS,1091700.68,45.72,12.47,9.54,187.0,13.84,33.29,106577.63
ICICIBANK.NS,990020.27,77.39,16.78,17.72,87.0,16.07,38.51,63595.42
SBIN.NS,919092.59,93.5,14.39,8.61,172.0,15.18,35.72,29734.43
LT.NS,540811.67,120.63,15.38,13.89,96.0,16.29,10.61,11931.78
TITAN.NS,444499.13,64.77,16.0,30.92,30.0,36.73,12.33,4688.0
SUNPHARMA.NS,441477.6,50.43,10.65,10.41,86.0,19.07,23.25,8809.81
INFY.NS,420299.54,76.8,3.58,4.21,482.0,32.0,21.17,373.3
ADANIPORTS.NS,406556.61,58.52,34.11,20.42,42.0,18.74,44.63,5035.94
M&M.NS,373076.84,164.31,18.48,19.24,106.0,21.84,17.03,2051.91
HAL.NS,328034.13,139.59,16.08,6.25,40.0,24.23,15.67,8357.23
HCLTECH.NS,326342.52,64.21,3.87,8.81,497.0,24.07,16.88,18553.0
ITC.NS,325586.39,15.84,2.54,7.73,617.0,30.32,24.87,16281.42
ULTRACEMCO.NS,323586.6,289.85,17.26,11.88,219.0,12.14,15.48,5638.09
NTPC.NS,323286.86,32.7,19.43,2.04,369.0,14.61,18.43,6852.03
BAJAJ-AUTO.NS,320915.92,420.12,21.03,17.44,127.0,32.32,21.51,1874.28
JSWSTEEL.NS,308783.74,101.32,75.28,2.7,54.0,23.0,15.3,10498.0
BEL.NS,295570.93,8.38,26.64,16.03,62.0,26.24,22.13,556.01
POWERGRID.NS,250279.26,20.41,7.22,0.63,451.0,18.92,55.74,3651.47
DIVISLAB.NS,247469.81,110.43,12.08,15.92,32.0,15.33,36.66,218.0
HINDZINC.NS,243568.5,40.36,9.58,18.14,354.0,61.37,54.71,11733.0
ASIANPAINT.NS,237024.81,49.71,1.75,0.21,110.0,20.7,17.69,5600.86
EICHERMOT.NS,206714.83,210.13,23.7,18.97,107.0,23.58,19.8,3529.58
WIPRO.NS,165609.31,12.59,5.16,1.58,481.0,16.13,15.7,13371.3
PIDILITIND.NS,159491.57,25.89,24.36,8.6,73.0,30.65,24.09,2235.68
ABB.NS,154142.15,74.76,17.63,12.26,54.0,19.13,11.46,979.56
TRENT.NS,149433.01,33.84,56.97,27.53,14.0,25.03,12.49,904.77
VBL.NS,140879.66,10.02,26.57,15.49,49.0,16.85,24.12,770.21
CUMMINSIND.NS,140540.41,85.57,24.35,16.13,128.0,28.3,20.46,1482.55
POWERINDIA.NS,140113.23,258.92,119.12,24.65,3.0,19.21,15.84,735.0
BSE.NS,137434.08,68.76,124.15,80.87,30.0,37.94,80.11,2588.52
PNB.NS,134180.11,19.22,76.44,6.45,257.0,14.97,29.4,24010.83
APOLLOHOSP.NS,127048.12,145.07,33.34,14.92,22.0,23.66,12.17,893.7
POLYCAB.NS,124138.34,189.73,28.11,26.16,56.0,25.55,12.72,2330.15
BRITANNIA.NS,119518.84,108.19,2.95,6.76,181.0,51.1,15.21,2406.03
GVT&D.NS,116452.52,50.9,160.99,40.03,22.0,45.84,24.44,1521.46
INDIANB.NS,114963.37,94.9,28.07,8.86,213.0,16.17,48.04,18361.36
LODHA.NS,111603.25,41.18,91.69,26.39,37.0,14.87,37.09,709.1
CIPLA.NS,110353.46,41.75,11.45,4.36,95.0,14.06,12.55,860.71
LAURUSLABS.NS,106387.47,20.23,4.0,15.92,12.0,17.65,25.39,553.55
HEROMOTOCO.NS,104503.73,271.92,26.9,11.86,350.0,28.3,11.63,7214.52
MARICO.NS,104110.74,14.53,10.61,18.96,50.0,105.13,19.28,1765.0
INDHOTEL.NS,103938.62,15.1,27.63,19.62,45.0,18.61,24.4,1434.83
HDFCAMC.NS,103081.76,68.63,26.16,26.29,222.0,31.01,80.2,2505.19
OFSS.NS,102435.88,391.62,13.48,9.72,567.0,49.9,59.57,2586.6
INDUSTOWER.NS,102323.45,27.12,51.86,6.59,376.0,18.91,31.21,7058.2
INDIAMART.NS,101941.88,81.89,18.7,14.5,183.0,23.15,33.81,687.22
MAXHEALTH.NS,101000.4,14.96,9.34,24.47,19.0,30.43,19.73,148.79
UNITDSPR.NS,99052.73,23.8,14.55,5.01,121.0,19.37,13.16,1278.0
TATACONSUM.NS,98078.27,16.49,8.61,15.58,100.0,55.67,10.46,1973.28
LUPIN.NS,95797.2,120.72,131.46,18.25,87.0,32.16,25.35,5279.65
MANKIND.NS,94174.28,49.47,14.28,17.97,8.0,1148.22,20.61,2384.05
IDBI.NS,89707.3,8.67,35.45,4.62,243.0,13.87,15.58,16434.32
GODREJCP.NS,88515.88,18.7,4.57,3.95,230.0,76.49,17.19,1918.94
PERSISTENT.NS,86177.04,122.31,26.51,22.54,65.0,25.2,15.96,1558.55
COFORGE.NS,81795.9,48.76,28.89,34.88,87.0,36.9,15.96,1049.2
AUBANK.NS,79355.65,37.76,22.75,32.84,9.0,13.22,35.31,1020.28
BHARTIHEXA.NS,77250.0,36.48,46.68,14.87,117.0,124.88,31.95,2981.1
NAM-INDIA.NS,76108.41,25.24,28.35,28.39,181.0,34.62,71.08,1387.06
APARINDS.NS,73276.59,293.08,15.28,19.23,35.0,18.13,10.8,230.92
NMDC.NS,72444.58,8.48,9.97,22.7,236.0,21.95,34.81,1825.5
GLENMARK.NS,68275.79,63.76,30.06,19.84,31.0,17.01,15.72,2087.32
FORTIS.NS,67025.18,13.9,20.95,15.06,11.0,22.89,16.32,656.0
DABUR.NS,66700.78,11.11,3.54,3.13,219.0,18.29,16.48,2158.48
NATIONALUM.NS,66302.41,36.77,59.28,16.47,107.0,26.9,47.62,4399.5
ATGL.NS,65416.7,5.73,6.26,14.77,4.0,13.63,11.6,160.83
BANKINDIA.NS,63737.34,27.0,41.29,5.21,330.0,13.7,48.54,3862.75
OBEROIRLTY.NS,63306.79,72.4,9.6,15.82,45.0,14.01,53.74,743.25
SCHAEFFLER.NS,61747.76,80.38,9.37,15.72,89.0,21.64,14.77,826.2
ALKEM.NS,60828.69,180.34,32.74,8.09,39.0,17.85,17.8,1345.77
RADICO.NS,58524.85,52.63,39.99,21.03,15.0,18.28,14.87,498.04
ABBOTINDIA.NS,54291.97,760.33,17.8,8.84,208.0,32.53,27.72,1278.32
BERGEPAINT.NS,53408.76,10.44,9.45,3.06,86.0,17.33,14.07,1022.07
IPCALAB.NS,49941.68,51.64,34.28,12.01,30.0,14.51,20.04,486.02
HINDCOPPER.NS,49753.38,11.76,46.08,34.07,82.0,27.62,48.89,1017.23
SONACOMS.NS,49181.32,11.17,17.43,18.23,45.0,16.57,16.64,167.22
COLPAL.NS,48886.7,49.55,8.17,2.96,265.0,83.66,27.68,1729.84
GLAXO.NS,47914.8,63.07,19.46,5.18,201.0,45.82,29.8,848.02
AEGISLOG.NS,47511.36,35.7,24.72,8.47,102.0,14.88,28.03,1206.8
AJANTPHARM.NS,44153.02,90.82,21.55,13.99,182.0,23.54,25.2,164.03
NAVINFLUOR.NS,43835.08,154.0,20.93,26.2,17.0,17.11,30.18,404.31
MPHASIS.NS,43792.52,99.92,4.38,9.36,271.0,17.74,14.78,934.78
SUPREMEIND.NS,42755.4,81.43,3.3,5.1,103.0,15.65,10.14,409.78
PAGEIND.NS,39445.68,679.25,10.17,7.22,224.0,50.94,18.33,686.54
KPRMILL.NS,37989.18,26.72,2.1,4.65,44.0,15.21,16.45,793.02
NH.NS,37963.42,40.49,10.14,26.95,24.0,38.79,11.69,746.01
EMCURE.NS,37539.58,53.39,20.22,17.68,18.0,24.02,15.44,395.86
IRCTC.NS,37032.0,17.4,11.48,10.64,192.0,32.37,27.33,1195.15
3MINDIA.NS,36848.05,511.68,5.01,10.23,49.0,29.56,15.55,455.39
ANANDRATHI.NS,36711.72,27.53,32.94,25.94,32.0,40.05,48.53,267.63
LTTS.NS,35405.23,120.59,0.44,6.76,172.0,24.17,15.69,1270.0
CRISIL.NS,34355.75,120.88,10.72,7.81,85.0,29.05,24.68,682.18
ABSLAMC.NS,32115.9,34.72,17.81,16.77,234.0,24.28,65.12,764.44
LALPATHLAB.NS,31876.06,32.39,28.33,11.39,104.0,28.56,25.46,462.23
KIRLOSENG.NS,31557.44,37.33,19.66,14.38,32.0,17.68,12.59,592.39
HEXT.NS,30309.71,21.78,15.69,13.75,283.0,21.47,13.74,1571.6
GODFRYPHLP.NS,30057.69,87.75,30.24,26.51,254.0,24.58,12.21,205.97
NETWEB.NS,29883.46,46.12,63.68,73.66,6.0,28.55,14.3,159.51
ZFCVINDIA.NS,28999.92,898.85,17.64,3.97,16.0,14.03,12.88,664.22
CDSL.NS,28424.0,22.49,18.24,18.72,94.0,23.91,38.09,345.92
DATAPATTNS.NS,27035.78,47.77,29.83,33.38,21.0,16.92,21.93,8.09
SUNDRMFAST.NS,26686.3,29.14,6.12,5.41,68.0,13.86,12.1,464.99
TIMKEN.NS,24840.23,56.71,2.02,9.35,8.0,15.94,15.51,148.42
PGHH.NS,24403.98,243.37,14.16,4.71,158.0,113.67,18.0,874.54
GILLETTE.NS,23810.02,205.32,31.26,11.76,244.0,69.13,26.8,563.36
SUMICHEM.NS,23779.3,11.59,2.64,6.71,27.0,16.43,20.32,401.3
FORCEMOT.NS,23328.57,950.55,108.52,14.3,28.0,35.03,10.26,757.47
GRANULES.NS,22532.17,26.98,4.82,9.04,19.0,12.18,17.56,235.04
CUB.NS,22522.58,14.15,12.26,16.15,88.0,12.55,50.98,449.93
SAGILITY.NS,21159.61,2.12,86.06,23.01,45.0,76.22,15.79,1010.76
CAPLIPOINT.NS,20940.46,87.22,19.45,13.7,29.0,18.15,31.43,275.11
INOXINDIA.NS,20426.64,29.39,18.56,18.45,9.0,23.26,17.9,10.73
GESHIP.NS,20047.33,261.98,4.55,2.0,411.0,17.37,54.43,481.41
HBLENGINE.NS,20019.02,28.19,102.15,21.56,55.0,36.83,21.05,588.12
ELGIEQUIP.NS,19472.47,14.17,5.08,10.77,43.0,21.82,12.29,299.1
KAJARIACER.NS,19272.02,34.33,12.34,3.96,96.0,16.11,16.42,536.33
CESC.NS,19269.82,11.75,4.72,10.19,407.0,13.43,11.78,141.29
CASTROLIND.NS,18598.47,10.74,5.23,6.2,665.0,57.0,24.78,992.81
PFIZER.NS,18574.49,160.54,5.01,7.19,183.0,19.73,35.72,942.34
SARDAEN.NS,18470.06,32.07,22.46,21.5,37.0,15.17,35.12,1397.03
EIHOTEL.NS,17913.56,11.37,24.62,8.19,53.0,13.05,19.72,296.54
CAMS.NS,17662.55,19.86,18.61,15.5,180.0,46.71,40.05,443.71
ECLERX.NS,17481.12,77.13,13.05,18.63,5.0,34.51,18.71,754.34
APLLTD.NS,15940.29,35.27,25.42,8.63,147.0,12.52,10.89,287.85
EMAMILTD.NS,15879.87,17.13,6.62,3.0,324.0,29.27,17.65,757.22
CONCORDBIO.NS,15752.06,29.06,2.81,2.39,52.0,12.95,24.96,171.73
VIJAYA.NS,15470.26,18.14,26.91,21.91,13.0,21.18,31.79,87.88
HONASA.NS,15360.63,7.61,33.72,11.62,63.0,18.88,13.19,133.91
LTFOODS.NS,15213.15,18.45,15.81,18.92,91.0,14.54,10.86,550.88
ENGINERSIN.NS,15116.13,13.96,25.93,9.39,184.0,22.01,14.23,250.07
KPITTECH.NS,15074.58,21.27,18.71,15.11,136.0,361.43,12.25,1052.2
USHAMART.NS,15052.59,17.45,11.92,7.04,76.0,15.16,16.89,457.28
NATCOPHARM.NS,14870.35,63.85,25.64,0.82,73.0,15.82,18.96,1377.2
RAINBOW.NS,14658.53,28.18,9.7,14.23,24.0,19.19,19.67,203.2
CCL.NS,14413.55,32.47,10.98,29.6,52.0,16.55,13.1,788.49
INDGN.NS,13927.13,16.63,14.66,16.43,39.0,26.37,12.24,606.4
IGIL.NS,13582.78,11.86,20.91,8.9,164.0,33.08,56.6,438.74
ACE.NS,13438.25,36.66,34.24,6.14,18.0,20.68,13.84,323.99
METROPOLIS.NS,12146.43,9.77,9.97,16.74,34.0,59.0,17.5,299.51
IEX.NS,10127.35,5.7,17.24,17.08,343.0,38.16,83.75,417.99
BBTC.NS,9932.03,184.93,39.47,6.76,237.0,20.67,15.59,2185.83
BLUEJET.NS,9862.38,13.52,15.69,15.31,21.0,18.25,31.17,114.68
ZENSARTECH.NS,9644.65,33.76,33.22,7.71,351.0,22.17,12.76,717.1
INTELLECT.NS,9580.74,24.87,8.93,10.1,58.0,14.84,12.85,290.97
BLS.NS,9530.03,17.08,50.67,33.72,106.0,57.45,24.78,765.84
ELECON.NS,9471.92,10.51,12.83,10.72,48.0,14.97,15.25,194.7
RAILTEL.NS,8341.19,10.77,22.53,29.03,124.0,16.25,10.98,44.09
BSOFT.NS,7876.26,20.41,16.06,0.3,236.0,14.76,14.75,436.58
NEWGEN.NS,7087.38,22.2,19.3,12.51,118.0,16.98,13.09,222.11
MAPMYINDIA.NS,5069.78,25.1,7.75,11.78,37.0,15.95,33.62,50.93
