Ticker,MarketCap_Cr,EPS_TTM,NI_CAGR_4Y_pct,Rev_CAGR_3Y_pct,DivYield_pct,ROE_pct,OPM_pct,FCF_Cr
BHARTIARTL.NS,1163958.47,44.29,47.34,18.6,86.0,19.36,32.23,75828.8
ICICIBANK.NS,965675.48,74.72,16.78,20.6,82.0,16.36,33.29,63595.42
SBIN.NS,955461.19,91.17,14.39,8.61,171.0,15.48,28.96,29734.43
HINDUNILVR.NS,515641.34,45.32,1.66,2.27,200.0,21.6,21.14,9638.0
SUNPHARMA.NS,441069.76,47.72,10.65,10.41,89.0,14.72,18.83,8809.81
INFY.NS,425670.34,76.05,3.58,4.21,437.0,31.44,20.93,373.3
M&M.NS,369210.37,152.19,18.48,20.68,105.0,18.75,16.4,2051.91
ITC.NS,366486.96,16.51,2.54,7.73,549.0,29.34,36.48,16281.42
NTPC.NS,354704.06,30.44,19.43,2.97,319.0,13.69,18.43,6852.03
JSWSTEEL.NS,314305.26,91.24,75.28,2.7,56.0,27.26,12.67,10498.0
BEL.NS,312054.46,8.27,26.64,17.77,107.0,27.56,27.47,556.01
HCLTECH.NS,306211.61,61.31,3.87,8.81,828.0,23.36,16.49,18553.0
POWERGRID.NS,271810.14,20.1,7.22,2.82,430.0,16.49,49.47,3651.47
ASIANPAINT.NS,261987.89,45.07,1.75,0.21,100.0,20.89,16.14,5600.86
VBL.NS,179092.57,9.41,26.57,15.49,37.0,16.85,18.49,770.21
DIVISLAB.NS,179005.46,96.66,12.08,16.38,45.0,16.19,28.75,218.0
TRENT.NS,170943.6,32.17,56.97,27.53,14.0,27.13,11.12,904.77
POWERINDIA.NS,164382.87,222.34,119.12,24.65,2.0,21.04,15.28,735.0
BSE.NS,163272.01,60.35,124.15,87.77,24.0,36.0,67.7,2588.52
CUMMINSIND.NS,162577.8,85.28,24.35,16.13,115.0,29.45,24.44,1482.55
PIDILITIND.NS,160798.33,24.04,24.36,8.79,64.0,23.52,20.53,2235.68
ABB.NS,153591.18,73.02,17.63,12.26,56.0,21.36,11.5,979.56
POLYCAB.NS,151800.08,176.48,28.11,26.16,49.0,24.58,12.95,2330.15
TORNTPHARM.NS,149924.56,63.87,20.22,14.11,85.0,16.99,20.2,2345.32
BRITANNIA.NS,125131.07,105.39,2.95,6.76,173.0,53.31,16.27,2406.03
APOLLOHOSP.NS,122065.98,135.09,33.34,15.65,24.0,21.5,11.91,893.7
BAJAJHLDNG.NS,118828.08,866.42,25.71,15.64,153.0,12.62,40.88,4780.31
BOSCHLTD.NS,118559.58,940.98,24.84,10.6,69.0,19.35,11.96,1858.8
INDIANB.NS,117199.33,86.87,28.07,8.86,214.0,15.44,46.92,18361.36
HDFCAMC.NS,116550.82,66.47,26.16,26.29,203.0,32.93,78.78,2505.19
LUPIN.NS,107522.81,116.4,131.46,18.25,53.0,26.91,24.24,5279.65
MAXHEALTH.NS,106545.86,14.75,9.34,25.58,15.0,14.33,22.56,148.79
MARICO.NS,105879.38,13.58,10.61,19.24,49.0,41.39,13.83,1765.0
INDHOTEL.NS,103163.25,14.65,27.63,19.62,47.0,16.43,30.92,1434.83
GODREJCP.NS,102385.85,18.21,4.57,3.95,193.0,15.1,19.62,1918.94
MANKIND.NS,99705.49,46.18,14.28,17.97,8.0,12.45,20.56,2384.05
HEROMOTOCO.NS,99544.24,286.77,26.9,12.29,298.0,28.03,13.11,7214.52
RECLTD.NS,93571.61,61.83,13.45,12.55,651.0,19.96,90.23,5901.93
LODHA.NS,91715.4,34.24,91.69,27.88,45.0,15.71,27.62,709.1
OFSS.NS,83916.95,302.12,13.48,9.72,700.0,32.61,50.4,2586.6
NMDC.NS,77737.24,8.47,9.97,22.7,397.0,23.36,21.97,1825.5
PERSISTENT.NS,75443.97,118.89,26.51,22.54,88.0,26.35,16.25,1558.55
DABUR.NS,75115.78,10.67,3.54,3.73,189.0,16.24,11.18,2158.48
BHARTIHEXA.NS,74725.0,34.71,46.68,14.87,68.0,26.47,32.32,2981.1
NATIONALUM.NS,69057.35,33.44,21.3,8.43,218.0,29.42,42.76,4604.82
SCHAEFFLER.NS,67677.92,77.85,9.37,15.72,84.0,19.48,15.0,826.2
COFORGE.NS,64776.13,43.8,28.89,34.93,109.0,18.6,16.56,1049.2
ALKEM.NS,64248.25,192.53,32.74,8.75,99.0,17.56,11.42,1345.77
GLENMARK.NS,62467.97,48.31,30.06,19.84,23.0,14.07,16.3,2087.32
OBEROIRLTY.NS,61212.44,69.04,9.6,15.82,47.0,14.91,53.07,743.25
JSL.NS,57404.59,38.69,14.73,5.74,42.0,17.41,10.38,736.83
ABBOTINDIA.NS,55705.04,730.8,17.8,8.86,201.0,34.46,27.01,1278.32
COLPAL.NS,54337.29,48.65,8.17,2.96,229.0,81.59,29.75,1729.84
RADICO.NS,50481.4,45.09,39.99,21.51,15.0,18.28,14.87,498.04
PAGEIND.NS,44587.61,685.91,10.17,7.42,154.0,52.5,18.56,686.54
GLAXO.NS,39505.49,61.24,19.46,5.18,259.0,49.11,34.42,848.02
NAVINFLUOR.NS,38431.13,130.22,20.93,27.2,21.0,20.11,29.85,404.31
AJANTPHARM.NS,38295.27,84.38,21.55,13.99,182.0,25.39,23.19,164.03
NH.NS,38156.37,39.86,10.14,27.26,24.0,19.84,13.73,746.01
3MINDIA.NS,37315.54,465.12,5.01,10.26,50.0,28.9,17.22,455.39
GUJGASLTD.NS,36445.58,0.32,9.72,23.05,148.0,12.27,10.34,1767.46
AEGISLOG.NS,35373.78,25.63,24.72,8.8,81.0,15.26,22.03,1206.81
LTTS.NS,35333.57,115.66,0.44,6.76,167.0,19.54,15.22,1270.0
JBCHEPHARM.NS,35218.55,44.51,20.07,8.73,85.0,18.69,16.48,620.73
ABSLAMC.NS,34140.01,33.73,17.81,16.77,214.0,25.1,51.86,764.44
HONAUT.NS,33142.21,593.24,6.23,7.45,30.0,12.35,14.41,459.6
ESCORTS.NS,31040.93,124.24,28.98,9.34,117.0,12.02,10.49,1063.83
ANANDRATHI.NS,31008.21,23.58,32.94,25.94,39.0,46.74,40.33,267.63
HEXT.NS,30448.48,22.59,15.69,13.75,285.0,22.27,13.61,1571.6
ZFCVINDIA.NS,29959.3,272.32,17.64,3.97,3.0,14.98,12.7,664.22
KIRLOSENG.NS,28952.42,39.14,19.66,14.82,34.0,16.82,15.42,592.39
TIMKEN.NS,27751.2,55.24,2.02,9.59,99.0,14.41,19.47,148.42
DATAPATTNS.NS,26996.03,48.35,29.83,33.38,22.0,16.73,54.21,8.09
GILLETTE.NS,25509.34,163.57,9.87,8.03,233.0,66.44,32.62,441.8
SUMICHEM.NS,22596.33,10.88,2.64,7.2,25.0,17.24,17.15,401.3
CESC.NS,22388.88,11.63,4.72,10.19,348.0,12.55,12.31,141.0
GESHIP.NS,20525.63,205.7,4.55,2.23,330.0,18.85,37.11,481.41
EIHOTEL.NS,20127.35,10.06,24.62,8.19,49.0,12.95,33.07,296.54
KAJARIACER.NS,18641.23,30.64,12.34,4.02,105.0,16.5,16.1,536.33
SUNDRMFAST.NS,18460.83,28.17,6.12,5.41,99.0,14.58,12.15,464.99
CASTROLIND.NS,18377.89,9.7,5.23,6.2,472.0,50.01,19.52,992.81
EMAMILTD.NS,18049.27,17.77,6.62,3.47,300.0,27.61,15.62,757.21
CHALET.NS,17570.99,29.42,52.1,39.8,26.0,19.13,36.84,728.51
INOXINDIA.NS,17406.63,28.33,18.56,18.45,11.0,25.9,16.69,10.73
KFINTECH.NS,15819.78,20.08,30.83,24.01,139.0,22.31,29.23,312.75
IGIL.NS,15374.08,11.84,20.91,8.9,136.0,33.08,60.49,438.74
KIRLOSBROS.NS,15354.51,47.05,16.71,7.35,39.0,16.48,10.88,198.9
CCL.NS,15163.29,29.15,10.98,29.6,69.0,18.0,12.5,788.49
RAINBOW.NS,14919.81,27.46,9.7,15.09,25.0,17.94,22.56,203.2
USHAMART.NS,14490.97,16.12,11.92,8.46,60.0,16.23,18.41,457.28
ENGINERSIN.NS,14092.65,12.31,25.93,9.4,129.0,23.79,15.22,250.07
CONCORDBIO.NS,13758.08,24.75,2.81,2.81,55.0,13.54,30.36,171.73
LTFOODS.NS,13299.79,18.01,15.81,18.92,105.0,14.94,10.86,550.88
ECLERX.NS,13220.88,74.39,13.05,18.63,3.0,29.0,21.13,754.34
ELECON.NS,12096.28,15.19,12.83,10.72,36.0,15.85,17.55,194.7
ACE.NS,11612.19,34.89,34.24,6.18,21.0,22.89,15.82,324.01
BLS.NS,11006.16,16.64,50.67,33.72,114.0,30.14,21.95,765.84
IEX.NS,10918.83,5.54,17.24,17.12,324.0,39.42,84.19,417.99
ZENSARTECH.NS,10155.67,33.7,33.22,7.71,289.0,22.17,14.68,717.1
JYOTHYLAB.NS,7428.01,9.31,31.75,7.02,171.0,18.32,11.28,253.28
CAMPUS.NS,7256.31,4.92,8.62,10.68,64.0,18.05,12.86,44.5
NEWGEN.NS,6803.18,21.08,24.28,23.56,126.0,18.25,31.54,191.63
