Ticker,MarketCap_Cr,EPS_TTM,NI_CAGR_4Y_pct,Rev_CAGR_3Y_pct,DivYield_pct,ROE_pct,OPM_pct,FCF_Cr
RELIANCE.NS,1847182.39,61.52,5.66,4.83,41.0,16.04,11.85,38736.0
HDFCBANK.NS,1231306.94,44.78,20.39,40.27,138.0,14.02,34.79,112922.01
BHARTIARTL.NS,1125033.97,50.62,99.05,11.5,87.0,23.12,32.16,58652.3
SBIN.NS,997137.48,91.88,29.91,13.71,149.0,15.97,29.68,42849.07
ICICIBANK.NS,964470.24,73.2,26.67,22.88,82.0,16.8,33.97,118035.25
TCS.NS,934009.32,136.06,5.3,5.28,244.0,48.4,25.28,47907.0
LT.NS,563472.71,127.71,20.15,18.29,83.0,20.87,10.68,4741.88
INFY.NS,533630.24,71.76,2.15,2.88,341.0,32.68,18.02,408.8
HINDUNILVR.NS,526572.9,43.0,6.27,2.27,201.0,288.36,20.99,10611.0
AXISBANK.NS,422468.05,84.22,25.72,16.62,7.0,13.63,47.46,41938.14
SUNPHARMA.NS,402008.57,45.54,49.47,9.66,97.0,20.14,26.17,11943.51
HCLTECH.NS,390236.26,60.62,8.81,7.41,372.0,23.19,18.56,21153.0
ITC.NS,384404.08,16.26,8.98,3.09,473.0,29.71,32.18,15348.34
KOTAKBANK.NS,381509.09,18.92,22.32,21.29,13.0,14.13,33.46,15702.89
ADANIPORTS.NS,362504.91,57.65,31.43,20.89,45.0,19.41,45.36,9177.36
HAL.NS,293465.15,133.08,18.08,6.87,115.0,25.92,15.11,11886.54
EICHERMOT.NS,197218.21,194.68,41.34,14.36,98.0,23.64,22.01,2940.59
TVSMOTOR.NS,177535.02,45.84,42.84,15.96,32.0,38.78,13.14,1024.86
ABB.NS,148969.63,78.47,17.63,12.26,57.0,22.39,14.96,979.56
TRENT.NS,146023.59,46.14,144.49,44.22,12.0,28.93,13.36,392.71
BANKBARODA.NS,145025.69,37.63,38.19,11.76,299.0,12.81,41.84,28559.09
BSE.NS,143424.49,53.08,73.17,90.43,17.0,30.48,81.72,260.94
CUMMINSIND.NS,142505.75,81.12,28.9,15.64,106.0,26.96,22.92,1446.82
PIDILITIND.NS,141815.55,22.49,19.8,5.56,75.0,30.15,21.39,1834.29
TORNTPHARM.NS,141453.27,67.33,34.98,9.36,84.0,63.95,26.7,1973.24
BRITANNIA.NS,138150.01,99.99,12.63,4.74,134.0,51.67,18.02,2105.8
IRFC.NS,137036.75,5.36,2.21,6.97,281.0,12.9,97.52,8228.75
SOLARINDS.NS,136540.44,160.39,39.94,4.27,7.0,28.78,25.32,1461.61
LTIM.NS,133515.97,160.34,5.21,7.02,1.49,20.97,16.11,3596.2
PNB.NS,131592.51,15.49,68.53,12.65,255.0,12.71,29.4,20473.87
CANBK.NS,129138.86,22.27,42.01,13.29,284.0,18.21,80.1,60668.58
INDIANB.NS,126540.53,85.45,39.57,12.01,173.0,15.75,47.53,16856.46
POLYCAB.NS,123317.15,173.88,34.16,25.71,44.0,25.96,11.34,838.8
CGPOWER.NS,122024.9,7.18,15.71,19.31,17.0,29.81,10.92,517.1
HDFCAMC.NS,119626.47,66.82,20.87,27.07,169.0,32.93,78.76,2030.01
GODREJCP.NS,113518.76,17.84,1.91,4.03,185.0,65.07,19.86,1977.41
APOLLOHOSP.NS,110699.81,125.38,11.06,14.55,26.0,20.98,11.52,423.7
BOSCHLTD.NS,110615.89,936.0,18.26,10.01,137.0,14.59,10.52,2058.0
TATACONSUM.NS,110173.26,14.89,10.96,13.21,75.0,98.29,10.98,1597.11
LUPIN.NS,106344.43,101.46,176.23,16.79,52.0,26.31,26.46,1317.51
GVT&D.NS,105957.18,41.56,236.0,24.92,12.0,34.31,26.05,816.21
MAZDOCK.NS,105540.34,59.76,58.09,21.5,75.0,30.48,23.99,1273.34
HEROMOTOCO.NS,104656.95,271.91,23.63,9.85,339.0,24.26,13.04,3440.76
DRREDDY.NS,102883.73,67.91,33.87,15.06,65.0,16.1,16.42,1203.0
CIPLA.NS,100229.68,56.23,27.96,9.9,106.0,20.12,14.03,3456.78
MARICO.NS,98095.55,13.25,9.97,5.25,141.0,75.03,15.32,1202.0
MAXHEALTH.NS,98063.75,14.56,21.15,24.07,15.0,32.16,20.66,493.78
ZYDUSLIFE.NS,94983.46,49.11,26.39,15.65,117.0,29.22,18.83,5064.1
UNITDSPR.NS,94773.1,24.21,24.06,6.69,96.0,20.35,14.05,1785.0
ICICIGI.NS,94307.16,54.71,25.43,15.8,69.0,17.27,12.57,916.15
INDHOTEL.NS,93846.88,14.1,37.94,20.02,34.0,19.43,33.92,1077.52
LODHA.NS,87160.34,33.46,31.98,21.01,49.0,16.9,28.2,1091.4
PERSISTENT.NS,85164.7,110.56,26.58,19.57,80.0,24.97,16.75,920.23
IDBI.NS,80715.36,8.64,44.41,9.53,282.0,14.73,15.58,25446.03
NATIONALUM.NS,80671.95,33.45,21.3,8.43,347.0,29.68,42.15,4604.82
AUROPHARMA.NS,80499.1,60.04,9.59,12.9,29.0,12.27,15.14,1405.07
TORNTPOWER.NS,78860.9,62.99,87.42,6.55,131.0,17.83,14.61,474.7
DABUR.NS,78547.86,10.39,0.54,4.17,187.0,18.31,17.34,1417.21
AUBANK.NS,74015.72,30.8,23.07,38.94,10.0,12.27,32.34,5198.05
MCX.NS,72691.77,24.9,57.46,49.04,21.0,33.24,72.41,854.23
FEDERALBNK.NS,72378.53,16.5,28.29,17.74,42.0,12.04,40.44,8046.26
ATGL.NS,69606.98,5.86,8.71,6.87,4.0,15.75,16.1,22.95
OFSS.NS,69562.83,279.16,8.0,9.62,167.0,33.51,40.89,2163.7
BANKINDIA.NS,67425.01,21.57,39.83,13.4,272.0,12.05,44.3,17811.4
FORTIS.NS,67206.38,12.76,11.73,11.5,11.0,17.85,17.02,576.99
ALKEM.NS,66741.18,198.29,9.58,5.79,92.0,18.92,19.61,1237.22
NAM-INDIA.NS,64771.96,22.29,20.02,28.55,187.0,32.4,68.48,658.53
SCHAEFFLER.NS,62560.54,73.77,9.37,15.72,88.0,20.21,14.28,826.2
OBEROIRLTY.NS,62197.8,61.57,28.57,12.05,47.0,14.17,55.24,1470.27
COLPAL.NS,57280.17,48.84,10.04,7.54,258.0,86.32,27.3,1323.04
JSWINFRA.NS,57164.27,7.71,66.11,19.04,29.0,21.61,35.54,24.87
