Ticker,MarketCap_Cr,EPS_TTM,NI_CAGR_4Y_pct,Rev_CAGR_3Y_pct,DivYield_pct,ROE_pct,OPM_pct,FCF_Cr
BHARTIARTL.NS,1174364.96,47.9,47.34,18.6,128.0,20.15,32.57,75515.4
HDFCBANK.NS,1110054.33,45.72,12.47,9.54,183.0,13.84,33.29,106577.63
ICICIBANK.NS,1021090.31,77.34,16.78,17.72,83.0,16.07,38.51,63595.42
SBIN.NS,966907.24,93.55,14.39,8.61,166.0,15.18,35.72,29734.43
LT.NS,556647.89,120.41,15.38,13.89,94.0,16.29,10.61,11931.78
INFY.NS,463354.25,78.09,3.58,4.21,450.0,32.0,21.17,373.3
SUNPHARMA.NS,460672.31,50.32,10.65,10.41,84.0,19.07,23.25,8809.81
TITAN.NS,458669.48,64.76,16.0,30.92,29.0,36.73,12.33,4688.0
M&M.NS,400334.13,164.5,18.48,19.24,99.0,21.84,17.03,2051.91
ADANIPORTS.NS,393401.0,58.62,34.11,20.42,44.0,18.74,44.63,5035.94
HCLTECH.NS,356105.95,64.23,3.87,8.81,468.0,24.07,16.88,18553.0
ULTRACEMCO.NS,340913.19,290.58,17.26,11.88,205.0,12.14,15.48,5638.09
ITC.NS,333292.19,15.84,2.54,7.73,595.0,30.32,24.87,16281.42
BAJAJ-AUTO.NS,327291.37,420.75,21.03,17.44,128.0,32.32,21.51,1874.28
JSWSTEEL.NS,325846.17,101.38,75.28,2.7,53.0,23.0,15.3,10498.0
HAL.NS,325098.22,139.62,16.08,6.25,41.0,24.23,15.67,8357.23
NTPC.NS,320038.48,32.69,19.43,2.04,373.0,14.61,18.43,6852.03
BEL.NS,301089.79,8.38,26.64,16.03,61.0,26.24,22.13,556.01
HINDZINC.NS,262814.83,40.39,9.58,18.14,344.0,61.37,54.71,11733.0
ASIANPAINT.NS,250081.52,49.73,1.75,0.21,105.0,20.7,17.69,5600.86
POWERGRID.NS,247442.55,20.42,7.22,0.63,462.0,18.92,55.74,3651.47
DIVISLAB.NS,245266.41,96.94,12.08,15.92,33.0,15.33,36.66,218.0
EICHERMOT.NS,221237.03,209.79,23.7,18.97,101.0,23.58,19.8,3529.58
WIPRO.NS,179009.59,12.59,5.16,1.58,454.0,16.13,15.7,13371.3
PIDILITIND.NS,165863.49,26.0,24.36,8.6,69.0,30.65,24.09,2235.68
ABB.NS,159122.0,74.9,17.63,12.26,53.0,19.13,11.46,979.56
TRENT.NS,154530.72,33.97,56.97,27.53,14.0,25.03,12.49,904.77
POWERINDIA.NS,148559.69,257.49,119.12,24.65,2.0,19.21,15.84,735.0
CUMMINSIND.NS,143949.96,85.64,24.35,16.13,127.0,28.3,20.46,1482.55
VBL.NS,140034.03,10.01,26.57,15.49,48.0,16.85,24.12,770.21
BSE.NS,138286.95,68.89,124.15,80.87,30.0,37.94,80.11,2588.52
POLYCAB.NS,136897.14,189.75,28.11,26.16,52.0,25.55,12.72,2330.15
PNB.NS,132628.56,19.23,76.44,6.45,260.0,14.97,29.4,24010.83
BRITANNIA.NS,127864.93,108.08,2.95,6.76,171.0,51.1,15.21,2406.03
LODHA.NS,127263.31,41.25,91.69,26.39,34.0,14.87,37.09,709.1
APOLLOHOSP.NS,127084.07,145.2,33.34,14.92,23.0,23.66,12.17,893.7
INDIANB.NS,118856.1,94.9,28.07,8.86,206.0,16.17,48.04,18361.36
CIPLA.NS,114998.65,41.75,11.45,4.36,92.0,14.06,12.55,860.71
HEROMOTOCO.NS,112079.08,271.95,26.9,11.86,333.0,28.3,11.63,7214.52
GVT&D.NS,111103.72,51.13,160.99,40.09,23.0,45.84,24.44,1521.46
HDFCAMC.NS,110161.43,68.49,26.16,26.29,210.0,31.01,80.2,2505.19
MARICO.NS,107537.29,14.59,10.61,18.96,48.0,105.13,19.28,1765.0
UNITDSPR.NS,107218.37,23.74,14.55,5.01,112.0,19.37,13.16,1278.0
OFSS.NS,106154.33,391.22,13.48,9.72,561.0,49.9,59.57,2586.6
INDIAMART.NS,105664.72,81.8,18.7,14.5,171.0,23.15,33.81,687.22
LAURUSLABS.NS,104739.52,20.26,4.0,15.92,12.0,17.65,25.39,553.55
TATACONSUM.NS,102997.03,16.57,8.61,15.58,96.0,55.67,10.46,1973.28
INDHOTEL.NS,102188.23,15.09,27.63,19.62,45.0,18.61,24.4,1434.83
INDUSTOWER.NS,100213.69,27.13,51.86,6.59,368.0,18.91,31.21,7058.2
IDBI.NS,99631.77,8.67,35.45,4.62,243.0,13.87,15.58,16434.32
LUPIN.NS,99295.28,120.64,131.46,18.25,83.0,32.16,25.35,5279.65
MAXHEALTH.NS,98699.97,14.93,9.34,24.47,20.0,30.43,19.73,148.79
MANKIND.NS,98412.8,49.32,14.28,17.97,8.0,1148.22,20.61,2384.05
GODREJCP.NS,93632.4,18.74,4.57,3.95,217.0,76.49,17.19,1918.94
PERSISTENT.NS,91785.74,122.13,26.51,22.54,64.0,25.2,15.96,1558.55
COFORGE.NS,89230.76,48.88,28.89,34.93,84.0,36.9,15.96,1049.2
AUBANK.NS,80675.24,37.75,22.75,32.8,9.0,13.22,35.31,1020.28
BHARTIHEXA.NS,77505.0,36.45,46.68,14.87,116.0,124.88,31.95,2981.1
NAM-INDIA.NS,76415.51,25.28,28.35,28.39,179.0,34.62,71.08,1387.06
NMDC.NS,76277.81,8.48,9.97,22.7,408.0,22.51,34.81,1825.5
APARINDS.NS,74545.32,293.56,15.28,19.23,34.0,18.13,10.8,230.92
NATIONALUM.NS,72537.77,36.75,59.28,16.47,103.0,26.9,47.62,4399.5
GLENMARK.NS,70979.51,63.71,30.06,19.84,30.0,17.01,15.72,2087.32
ATGL.NS,70002.91,5.74,6.26,14.77,4.0,13.63,11.6,160.83
FORTIS.NS,69965.75,13.92,20.95,15.06,11.0,22.89,16.32,656.0
DABUR.NS,68474.74,11.08,3.54,3.13,214.0,18.29,16.48,2158.48
OBEROIRLTY.NS,67993.62,72.29,9.6,15.82,43.0,14.01,53.74,743.25
BANKINDIA.NS,65558.41,27.01,41.29,5.21,322.0,13.7,48.54,3862.75
ALKEM.NS,64027.06,180.35,32.74,8.09,38.0,17.85,17.8,1345.77
SCHAEFFLER.NS,63043.52,80.21,9.37,15.72,86.0,21.64,14.77,826.2
RADICO.NS,61698.89,52.51,39.99,21.03,15.0,18.28,14.87,498.04
BERGEPAINT.NS,57641.35,10.42,9.45,3.06,80.0,17.33,14.07,1022.07
ABBOTINDIA.NS,55620.05,758.88,17.8,8.84,199.0,32.53,27.72,1278.32
GLAXO.NS,52624.29,62.92,19.46,5.18,186.0,45.82,29.8,848.02
HINDCOPPER.NS,51595.57,11.74,46.08,34.38,46.0,27.82,48.89,1017.23
SONACOMS.NS,50847.09,11.22,17.43,18.23,44.0,16.57,16.64,167.22
COLPAL.NS,49689.05,49.63,8.17,2.96,260.0,83.66,27.68,1729.84
IPCALAB.NS,49479.94,51.54,34.28,12.01,31.0,14.51,20.04,486.02
MPHASIS.NS,46845.59,99.92,4.38,9.36,257.0,17.74,14.78,934.78
SUPREMEIND.NS,46218.38,81.38,3.3,5.1,100.0,15.65,10.14,409.78
AEGISLOG.NS,45257.94,35.7,24.72,8.47,103.0,14.88,28.03,1206.8
AJANTPHARM.NS,44447.92,90.72,21.55,13.99,181.0,23.54,25.2,164.03
NAVINFLUOR.NS,43701.69,154.21,20.93,26.2,18.0,17.11,30.18,404.31
PAGEIND.NS,40137.22,676.62,10.17,7.22,223.0,50.94,18.33,686.54
NH.NS,39240.92,40.36,10.14,26.95,24.0,38.79,12.84,746.01
IRCTC.NS,38852.0,17.41,11.48,10.64,195.0,32.37,27.33,1195.15
3MINDIA.NS,38768.74,513.68,5.01,10.23,47.0,29.56,15.55,455.39
KPRMILL.NS,38711.9,26.7,2.1,4.65,44.0,15.21,16.45,793.02
LTTS.NS,37855.89,120.64,0.44,6.76,164.0,24.17,15.69,1270.0
ANANDRATHI.NS,36751.57,27.5,32.94,25.94,32.0,40.05,48.53,267.63
EMCURE.NS,35462.38,53.35,20.22,18.25,19.0,24.02,15.44,395.86
CRISIL.NS,34610.24,120.87,10.72,7.81,85.0,29.05,24.68,682.18
HEXT.NS,33886.14,21.82,15.69,13.75,256.0,21.47,13.74,1571.6
GODFRYPHLP.NS,33125.85,87.77,30.24,26.51,236.0,24.58,12.21,205.97
LALPATHLAB.NS,32245.08,32.34,28.33,11.39,103.0,28.56,25.46,462.23
NETWEB.NS,31642.46,45.87,63.68,73.66,6.0,28.55,14.3,159.51
KIRLOSENG.NS,30895.32,37.38,19.66,14.38,33.0,17.68,12.59,592.39
ABSLAMC.NS,30321.88,34.74,17.81,16.77,244.0,24.28,65.12,764.44
CDSL.NS,29567.23,22.57,18.24,18.72,90.0,23.91,38.09,345.92
ZFCVINDIA.NS,29225.25,898.9,17.64,3.97,16.0,14.03,12.88,664.22
PGHH.NS,26267.23,243.89,14.16,4.71,148.0,113.67,18.0,874.54
DATAPATTNS.NS,25891.46,48.07,29.83,33.38,21.0,16.92,21.93,8.09
SUMICHEM.NS,25848.26,11.6,2.64,6.71,25.0,16.43,20.32,401.3
SUNDRMFAST.NS,25215.4,29.07,6.12,5.41,70.0,13.86,12.1,464.99
TIMKEN.NS,23692.4,56.66,2.02,9.35,8.0,15.94,15.51,148.42
FORCEMOT.NS,22887.17,950.41,108.52,14.3,29.0,35.03,10.26,757.47
CUB.NS,22019.26,14.14,12.26,16.15,87.0,12.55,50.98,449.93
SAGILITY.NS,21693.28,2.12,86.06,23.01,45.0,76.22,15.79,1010.76
PFIZER.NS,21518.82,160.7,5.01,7.19,158.0,19.73,35.72,942.34
GRANULES.NS,20731.93,26.97,4.82,9.04,21.0,12.18,17.56,235.04
ELGIEQUIP.NS,19823.96,14.2,5.08,10.77,45.0,21.82,12.29,299.1
CESC.NS,19633.02,11.74,4.72,10.19,394.0,13.43,11.78,141.29
INOXINDIA.NS,19298.14,28.09,18.56,18.45,9.0,23.26,17.9,10.73
CAPLIPOINT.NS,19133.66,87.4,19.45,14.12,31.0,18.15,31.43,275.1
GESHIP.NS,19125.09,261.86,4.55,2.0,437.0,17.37,54.43,481.41
KAJARIACER.NS,19100.74,34.33,12.34,3.96,100.0,16.11,16.42,536.33
CAMS.NS,18920.27,19.86,18.61,15.5,173.0,46.71,40.05,443.71
HBLENGINE.NS,18685.71,28.16,102.15,21.93,60.0,36.83,21.05,588.12
EIHOTEL.NS,18623.34,11.37,24.62,8.19,50.0,13.05,19.72,296.54
CASTROLIND.NS,18322.5,10.73,5.23,6.2,675.0,57.0,24.78,992.81
ECLERX.NS,17995.54,77.25,13.05,18.63,5.0,34.51,18.71,754.34
SARDAEN.NS,17909.78,32.05,22.46,21.5,39.0,15.26,35.12,1397.02
KPITTECH.NS,16589.53,21.29,18.71,15.11,128.0,361.43,12.25,1052.2
EMAMILTD.NS,16560.81,17.14,6.62,3.0,310.0,29.27,17.65,757.22
APLLTD.NS,15989.43,35.27,25.42,8.63,146.0,12.52,10.89,287.85
NATCOPHARM.NS,15571.6,63.89,25.64,1.24,76.0,15.82,18.96,1377.2
CONCORDBIO.NS,15494.71,29.05,2.81,2.39,51.0,12.95,24.96,171.73
HONASA.NS,15344.33,7.61,33.72,11.62,62.0,18.88,13.19,133.91
LTFOODS.NS,15256.56,18.43,15.81,18.92,91.0,14.54,10.86,550.88
USHAMART.NS,14990.19,17.46,11.92,7.04,77.0,15.16,16.89,457.28
CCL.NS,14974.89,32.46,10.98,29.6,52.0,16.55,13.1,788.49
VIJAYA.NS,14960.42,18.26,26.91,21.91,14.0,21.18,31.79,87.88
IGIL.NS,14648.05,11.85,20.91,8.9,148.0,33.08,56.6,438.74
RAINBOW.NS,14637.23,28.1,9.7,14.23,24.0,19.19,19.67,203.2
ENGINERSIN.NS,14260.14,13.95,25.93,9.4,202.0,22.01,14.23,250.07
INDGN.NS,13941.58,16.62,14.66,16.43,40.0,26.37,12.24,606.4
ACE.NS,13576.32,36.69,34.24,6.14,18.0,20.68,13.84,323.99
METROPOLIS.NS,12203.72,9.75,9.97,16.74,35.0,59.0,17.5,299.51
BBTC.NS,10906.74,184.92,39.47,6.76,211.0,20.67,15.59,2185.83
IEX.NS,10831.68,5.7,17.24,17.08,328.0,38.16,83.75,417.99
ZENSARTECH.NS,10673.18,33.76,33.22,7.71,323.0,22.17,12.76,717.1
BLUEJET.NS,10020.23,13.53,15.69,15.31,20.0,18.25,31.17,114.68
BLS.NS,9836.62,17.09,50.67,33.72,105.0,57.45,24.78,765.84
ELECON.NS,9542.61,10.54,12.83,10.72,47.0,14.97,15.25,194.7
INTELLECT.NS,9469.87,24.83,8.93,10.1,59.0,14.84,12.85,290.97
RAILTEL.NS,8950.97,10.77,22.53,29.03,116.0,16.25,10.98,44.09
BSOFT.NS,8414.58,20.42,16.06,0.3,226.0,14.76,14.75,436.58
NEWGEN.NS,8016.06,22.18,19.3,12.51,115.0,16.98,13.09,222.11
MAPMYINDIA.NS,5289.37,25.11,7.75,11.78,36.0,15.95,33.62,50.93
