Ticker,MarketCap_Cr,EPS_TTM,NI_CAGR_4Y_pct,Rev_CAGR_3Y_pct,DivYield_pct,ROE_pct,OPM_pct,FCF_Cr
NATIONALUM.NS,63161.77,33.42,21.3,8.43,231.0,29.42,42.76,4604.82
GLENMARK.NS,61858.41,48.29,30.06,19.84,23.0,14.07,16.3,2087.32
ABBOTINDIA.NS,59508.67,731.59,17.8,8.84,183.0,34.46,27.02,1278.32
JSL.NS,58850.61,38.71,14.73,5.74,41.0,17.41,10.38,736.83
BERGEPAINT.NS,58061.11,9.67,9.45,3.06,81.0,17.23,14.25,1022.07
COLPAL.NS,56738.93,48.81,8.17,2.96,230.0,81.59,29.99,1729.84
MRF.NS,55455.06,5716.9,46.67,11.21,35.0,12.26,11.53,3156.05
RADICO.NS,54816.22,45.12,39.99,21.03,15.0,18.28,14.87,498.04
AEGISLOG.NS,47370.96,25.6,24.72,8.47,98.0,15.26,23.34,1206.8
HINDCOPPER.NS,46721.76,9.49,46.08,34.38,50.0,30.6,48.47,1017.23
PAGEIND.NS,44922.23,684.59,10.17,7.22,151.0,52.5,18.87,686.54
IPCALAB.NS,44720.44,44.99,34.28,12.01,34.0,13.22,18.48,486.02
SONACOMS.NS,44706.54,11.16,17.43,18.23,50.0,16.57,18.26,167.22
SUPREMEIND.NS,43956.32,75.17,3.3,5.1,104.0,16.13,14.88,409.78
MPHASIS.NS,43660.85,100.01,4.38,9.36,278.0,18.29,15.38,934.78
GLAXO.NS,42593.76,61.13,19.46,5.18,228.0,49.11,34.42,848.02
AJANTPHARM.NS,42097.06,84.62,21.55,13.99,163.0,25.39,23.19,164.03
3MINDIA.NS,39991.0,465.23,5.01,10.26,45.0,28.9,17.22,455.39
NH.NS,39838.03,39.85,10.14,27.26,23.0,19.84,13.73,746.01
IRCTC.NS,39604.0,17.44,11.48,10.64,192.0,34.96,26.36,1195.15
ASTRAL.NS,39440.53,19.93,6.55,8.03,27.0,13.8,14.79,657.9
JBCHEPHARM.NS,38792.59,44.56,20.07,8.73,77.0,18.69,16.48,620.73
NAVINFLUOR.NS,38577.62,130.45,20.93,26.2,19.0,20.11,31.09,404.31
KPRMILL.NS,36358.77,25.32,2.1,4.65,48.0,16.2,17.69,793.02
LTTS.NS,36255.3,120.5,0.44,6.76,174.0,24.17,15.69,1270.0
EMCURE.NS,35678.83,48.79,20.22,18.25,16.0,19.57,15.35,395.86
ANANDRATHI.NS,33907.29,27.66,32.94,25.94,34.0,40.05,48.53,267.63
HEXT.NS,33632.89,22.6,15.69,13.75,264.0,22.27,13.61,1571.6
GODFRYPHLP.NS,33217.88,97.82,30.24,26.51,181.0,26.59,29.1,205.97
