Ticker,Date,Close,SSF50,SSF200,SSF250,RSI14,RSI_MA14,buy_signal,exit_signal,Signal
ELGIEQUIP.NS,2026-02,534.75,558.85,347.19,286.63,,,False,False,HOLD
NAVA.NS,2026-02,595.6,501.32,154.44,123.34,,,False,False,HOLD
CAMS.NS,2026-02,677.6,765.74,773.76,882.57,,,False,False,HOLD
NEULANDLAB.NS,2026-02,12825.0,12589.91,3684.95,2838.75,,,False,False,HOLD
TRITURBINE.NS,2026-02,489.2,592.12,279.11,227.7,,,False,False,HOLD
FSL.NS,2026-02,213.15,316.8,137.77,112.51,,,False,False,HOLD
ECLERX.NS,2026-02,3172.4,3378.18,1565.49,1348.2,,,False,False,HOLD
KSB.NS,2026-02,770.25,810.35,388.07,316.48,,,False,False,HOLD
AKZOINDIA.NS,2026-02,2935.3,3233.39,2096.6,1892.57,,,False,False,HOLD
J&KBANK.NS,2026-02,121.39,106.86,61.38,66.3,,,False,False,HOLD
CAPLIPOINT.NS,2026-02,1700.1,1940.88,903.31,834.7,,,False,False,HOLD
INDIAMART.NS,2026-02,2132.0,2396.02,2189.63,1882.6,,,False,False,HOLD
ZENSARTECH.NS,2026-02,564.75,742.62,376.82,322.39,,,False,False,HOLD
USHAMART.NS,2026-02,418.4,377.14,159.86,121.57,,,False,False,HOLD
UTIAMC.NS,2026-02,987.3,1116.69,1233.16,1441.67,,,False,False,HOLD
KIRLOSBROS.NS,2026-02,1582.8,1854.09,641.79,505.78,,,False,False,HOLD
MGL.NS,2026-02,1219.8,1353.08,1201.79,1632.36,,,False,False,HOLD
BBTC.NS,2026-02,1694.2,1974.48,1311.63,1198.35,,,False,False,HOLD
GRAVITA.NS,2026-02,1613.0,1797.3,586.91,440.67,,,False,False,HOLD
BLS.NS,2026-02,278.7,372.95,150.74,113.72,,,False,False,HOLD
CANFINHOME.NS,2026-02,843.4,777.78,574.59,508.0,,,False,False,HOLD
IEX.NS,2026-02,125.64,161.26,121.15,101.41,,,False,False,HOLD
BSOFT.NS,2026-02,390.1,490.75,336.95,280.43,,,False,False,HOLD
ACE.NS,2026-02,884.7,1235.16,485.33,374.11,,,False,False,HOLD
BATAINDIA.NS,2026-02,789.0,1241.12,1440.1,1315.97,,,False,False,HOLD
ELECON.NS,2026-02,415.85,572.72,217.67,160.74,,,False,False,HOLD
JYOTHYLAB.NS,2026-02,253.46,388.48,238.04,212.08,,,False,False,HOLD
NEWGEN.NS,2026-02,508.75,1044.24,385.86,291.55,,,False,False,HOLD
SAREGAMA.NS,2026-02,333.0,474.3,281.83,226.13,,,False,False,HOLD
