Ticker,Date,Close,EMA200,RSI14,RSI_MA14,buy_signal,exit_signal,Signal
ICICIBANK.NS,2026-02-27,1378.9,1130.39,49.32,49.55,False,True,SELL
BALKRISIND.NS,2026-02-27,2383.9,2383.96,48.04,49.64,False,True,SELL
IRCTC.NS,2026-02-27,569.55,713.04,28.59,35.32,False,True,SELL
CRISIL.NS,2026-02-27,4376.4,4228.57,42.19,42.32,False,True,SELL
ZFCVINDIA.NS,2026-02-27,15164.0,12473.53,56.85,57.22,False,True,SELL
AKZOINDIA.NS,2026-02-27,2935.3,2928.55,40.16,42.63,False,True,SELL
INDIAMART.NS,2026-02-27,2132.0,2436.55,37.35,39.4,False,True,SELL
